gene_id	padj	log2FoldChange	probesetID
AT1G80520	0.000585846	-1.6	260277_at
AT2G36240	0.033770539	1.505636214	263958_at
AT4G16515	0.022443764	1.684502351	245336_at
AT4G22250	0.024053836	-1.51	254349_at
AT5G57500	0.0000757	-2.8	247922_at
AT3G51600	0.0000544	1.812313779	252115_at
AT1G62520	0.011729814	-1.38	257403_at
AT4G26290	0.031859151	1.501677825	254003_at
AT3G23710	0.021933491	1.407325032	257199_at
AT1G18810	0.014730487	-1.38	261407_at
AT5G60790	0.027090957	-1.25	247593_at
AT2G25490	0.00000261	2.792096948	265633_at
AT5G06980	0.018108078	1.34304738	250665_at
AT1G69295	0.024828497	-1.27	260352_at
AT1G50570	0.039664644	-1.22	261858_at
AT4G13690	0.040761083	1.351404146	254728_at
AT4G25900	0.005429776	-1.54	254040_at
AT1G06890	0.002361532	1.553962279	260818_at
AT3G52800	0.030137032	1.309022077	252009_at
AT3G13662	0.0000347	2.016047568	257570_at
AT3G13660	0.000850241	2.305148961	256782_at
AT1G52590	0.029721953	1.401034871	262160_at
AT2G38170	0.000894858	-1.49	267093_at
AT4G33220	0.009703569	-1.3	253372_at
AT5G18600	0.000124839	2.412806672	249996_at
AT3G17690	0.000223304	2.408807381	258377_at
AT2G31360	0.006454137	1.388614372	263249_at
AT5G15580	0.0000369	-2.15	246562_at
AT3G15690	0.032577744	1.309760843	258269_at
AT2G22620	0.0000424	-2.78	265350_at
AT2G31180	0.005642803	-1.49	266469_at
AT1G26310	0.010166699	1.436270204	245819_at
AT1G22800	0.044167089	1.289617336	264198_at
AT4G18010	0.0000368	2.280530038	254707_at
AT4G36860	0.003809189	1.488818715	246283_at
AT5G66330	0.003937822	1.563557468	247087_at
AT5G66440	0.006454137	1.404733221	247049_at
AT5G43180	0.00000848	-2.81	249136_at
AT4G24040	0.000988659	2.459880876	254197_at
AT2G25790	9.24E-08	-4.06	266663_at
AT1G15670	0.00047888	1.693882812	259502_at
AT2G37750	0.0000737	2.340590807	267178_at
AT5G42070	0.016937582	1.532946348	249230_at
AT3G45680	0.0000116	-2.87	252594_at
AT3G25410	0.023617458	1.32871625	257908_at
AT4G00740	0.006115256	-1.37	255638_at
AT4G33420	0.000000545	-6.22	253332_at
AT1G76320	0.011842712	1.440394652	261781_at
AT5G25460	0.000000268	-2.75	246919_at
AT4G11190	0.000117468	-3.29	254907_at
AT4G15430	0.000252296	2.228192218	245558_at
AT4G27240	0.0000488	1.806249465	253916_at
AT1G32350	0.034315759	-1.28	260706_at
AT2G41705	0.008049155	1.522909107	260500_at
AT5G60630	5.7E-09	12.98991644	247610_at
AT2G19580	0.015107264	-1.54	265935_at
AT5G25640	0.000777324	1.612328123	246902_at
AT5G20030	0.037757297	1.302156597	246155_at
AT5G39220	0.007761825	1.689724856	249497_at
AT1G03610	0.024625564	-1.41	264836_at
AT1G77920	0.002496538	-1.53	262137_at
AT5G55500	0.035736398	1.319506113	248056_at
AT1G35513	0.000869663	1.477453911	262016_at
AT1G35510	0.036391521	1.29152367	262025_at
AT3G24120	0.042243118	1.287480811	257250_at
AT4G19370	0.00000728	-2.07	254571_at
AT4G30993	0.008433063	1.454838781	253548_at
AT1G29440	0.046161157	-1.51	257506_at
AT2G39010	0.000867951	-1.67	266172_at
AT2G26350	0.000434391	1.669863751	267433_at
AT4G28330	0.022258711	1.630251811	253818_at
AT3G50770	0.000136828	-1.79	252136_at
AT3G47500	0.029622916	-1.3	252429_at
AT1G28370	0.044167089	-1.36	261470_at
AT4G21350	0.001908963	1.494679554	254405_at
AT1G16060	0.002916838	1.504119316	261794_at
AT1G29395	0.000373815	-2.16	259789_at
AT3G19800	0.002779597	1.479194071	257966_at
AT1G70985	0.006826708	-1.64	262290_at
AT2G30770	0.00000113	-3.78	267567_at
AT1G21590	0.009848234	-1.65	260924_at
AT3G09830	0.018298123	1.355249485	258650_at
AT3G10870	5.05E-08	-7.3	258769_at
AT5G02610	0.037836386	-1.22	251007_at
AT1G54130	0.020354186	-1.32	263159_at
AT5G19730	0.0000178	-2.35	245965_at
AT5G16240	0.024387606	-1.33	246502_at
AT5G12940	0.0000802	-2.34	250277_at
AT2G41820	0.000037	-2.83	260494_at
AT2G28600	0.047100017	-1.28	263435_at
AT1G11700	0.000120689	-1.96	262811_at
AT2G39980	0.000000119	-4.36	267337_at
AT4G34770	0.000000119	-5.47	253207_at
AT3G12250	0.010509071	1.277917748	256269_at
AT4G39720	0.000129481	-2.57	252905_at
AT4G30670	0.002470976	1.567276617	253582_at
AT5G56880	0.001974708	-1.42	247986_at
AT1G05560	0.027626908	-1.33	263184_at
AT3G26770	0.034562806	1.299208777	258257_at
AT4G32290	0.03228228	1.356549751	253475_at
AT5G10030	0.007674062	-1.43	250463_at
AT3G28600	0.01630463	-1.31	256991_at
AT1G28610	0.0000501	2.301912056	262748_at
AT2G15390	0.0000995	-1.85	263565_at
AT3G22460	0.003933137	-1.43	256930_at
AT1G28070	0.000631155	-1.93	259583_at
AT2G14580	0.023235462	-1.28	266383_at
AT1G44935	0.03505345	1.24987838	261331_at
AT1G55450	0.002023847	-1.41	265075_at
AT1G03420	0.000218574	2.396482638	264824_at
AT5G10290	0.013132912	1.273356578	250480_at
AT5G23870	0.030672734	-1.46	249807_at
AT1G22610	0.000463702	-1.47	261935_at
AT4G16280	0.027371247	1.499000769	245489_at
AT5G63530	0.007178588	-1.39	247331_at
AT4G36010	0.016549996	-1.35	253104_at
AT1G13830	0.002214073	-1.87	259424_at
AT1G13400	0.00086395	-1.72	259386_at
AT2G39030	0.000011	-2.92	266142_at
AT1G63490	0.015594694	1.366196692	261531_at
AT1G02110	0.031974383	1.479269562	264176_at
AT5G61380	0.019038558	-1.27	247525_at
AT5G06700	0.032817631	-1.3	250645_at
AT5G59150	0.04129903	1.207184826	247722_at
AT1G55360	0.0000184	-1.92	257510_at
AT4G17150	0.014605402	1.369540326	245405_at
AT2G10930	0.014132283	1.399325437	263290_at
AT1G51680	0.000410772	-1.7	256186_at
AT1G47485	0.00000154	-8.88	262445_at
AT5G48330	0.006486782	1.764347926	248693_at
AT1G57680	0.012344893	1.2631202	246408_at
AT3G03840	0.048020883	-1.29	259331_at
AT2G24040	0.0000774	2.020836819	266566_at
AT5G51390	0.00183033	2.017325284	248432_at
AT5G41620	0.042277557	-1.26	249256_at
AT1G31860	0.036789006	-1.29	246265_at
AT5G02490	0.042699873	-1.28	250994_at
AT4G24120	0.000554586	-1.96	254174_at
AT5G42400	0.000758329	1.557336543	249219_at
AT5G36910	0.046866082	-1.3	249645_at
AT2G42610	0.0000682	-2.08	263498_at
AT1G68360	0.000577404	1.718613012	260484_at
AT5G11240	0.037650783	-1.29	250418_at
AT3G23990	0.034337416	-1.2	256905_at
AT3G50440	0.000000323	-3.43	252168_at
AT2G36970	0.000645846	-1.75	263847_at
AT5G19970	0.0178816	-1.38	246142_at
AT5G15070	0.028531441	1.384363999	246551_at
AT2G33310	0.039069899	-1.27	255788_at
AT1G34030	0.041335877	-1.24	255977_at
AT1G01430	0.011072738	1.294269769	261049_at
AT1G62045	0.037254434	1.476888047	264288_at
AT4G00500	0.021222056	1.339860679	255677_at
AT2G37300	0.005708185	-1.35	265957_at
AT3G62050	0.009667153	-1.39	251271_at
AT1G70160	0.000240441	-1.84	264701_at
AT3G13980	0.016995734	-1.63	258196_at
AT4G27590	0.0000891	-1.65	253880_at
AT1G77610	0.014708681	-1.51	259713_at
AT4G00760	0.006593983	1.363169525	255639_at
AT1G23000	0.000958799	-1.64	264721_at
AT3G12920	0.000000879	-2.67	257858_at
AT1G72600	0.000161651	-1.57	259916_at
AT2G26330	0.012487171	-1.31	267376_at
AT5G53890	0.00629615	-1.46	248237_at
AT4G30020	0.000086	-1.75	253650_at
AT5G06570	0.005662302	1.559639332	250680_at
AT1G29950	0.019383466	-1.26	260027_at
AT5G19090	0.001672458	-1.51	249969_at
AT4G28310	0.003650003	1.468187408	253817_at
AT4G00970	0.042243118	-1.38	255654_at
AT1G28390	0.000210994	-1.56	261501_at
AT5G48520	0.032904514	1.316612077	248705_at
AT3G05500	0.033818042	1.267467638	259105_at
AT3G56620	0.004418606	-1.45	251706_at
AT2G39700	0.00000573	-2.41	267590_at
AT4G31330	0.000000465	-4.96	253525_at
AT3G18560	0.005144337	-1.41	256799_at
AT3G15150	0.039349391	1.295971345	256887_at
AT2G39400	0.003065421	-1.58	266983_at
AT1G14720	0.000225996	-1.77	262842_at
AT3G06770	0.0000429	-2.22	258528_at
AT4G31910	0.000415412	-2.76	253483_at
AT3G16520	0.001722781	-1.46	257205_at
AT1G53035	0.001734602	-1.59	261318_at
AT1G53030	0.002637151	1.48053164	261317_at
AT1G20190	0.00000256	-3.92	261226_at
AT2G26520	0.003902962	2.099412265	245040_at
AT1G51960	0.000110556	-2	265047_at
AT1G07485	0.001192187	-1.61	261066_at
AT2G28370	0.044999717	1.343295264	265281_at
AT5G55920	0.013861078	-1.33	248036_at
AT2G17550	0.001078879	-1.62	263067_at
AT1G78080	0.004927158	-1.41	262135_at
AT3G06080	0.007885041	-1.38	258472_at
AT5G56860	0.0000145	-3.17	247980_at
AT5G15310	0.012094412	-1.31	250167_at
AT2G28080	0.001150127	-1.62	266166_at
AT2G31085	0.000406605	-2.9	266477_at
AT3G61260	0.00090702	1.442424466	251306_at
AT5G07840	0.045015182	1.242595351	250557_at
AT4G10925	0.044122743	1.260144172	254953_at
AT2G33530	0.00014301	-1.97	255842_at
AT3G22660	0.000538674	-1.52	258316_at
AT4G15690	0.00000251	-3.42	245505_at
AT4G35190	0.0000899	-3.13	253182_at
AT2G18280	0.039349391	1.220896576	265321_at
AT1G18140	0.001274656	-1.69	256128_at
AT4G26950	0.0000193	-4.01	253940_at
AT4G11740	0.028283644	1.248218786	254891_at
AT4G30650	0.015758066	-1.53	253627_at
AT3G49000	0.038398044	1.249623186	252292_at
AT5G43080	0.043162072	1.312606272	249129_at
AT2G18060	0.001428947	-1.91	265813_at
AT5G49690	0.003756756	-1.45	248563_at
AT2G47920	0.039691834	1.487768765	266508_at
AT3G13590	0.040489852	-1.33	256646_at
AT1G68550	0.040553036	-1.27	260209_at
AT1G32410	0.04702023	1.221443106	260707_s_at
AT5G39580	0.0000376	-1.94	249459_at
AT2G44745	0.0000426	-2.13	266886_at
AT5G10280	0.003158247	-1.85	250450_at
AT2G44740	0.003155482	-1.94	266873_at
AT4G18740	0.004404552	1.470849198	254638_at
AT3G48970	0.0000943	-2.69	252296_at
AT4G23060	0.012666406	1.397278895	254293_at
AT3G25620	0.0000041	-4.71	256757_at
AT2G34930	0.046158623	-1.25	267411_at
AT2G22330	0.001718707	1.743699739	264052_at
AT4G11290	8.43E-09	-15.4	254914_at
AT3G06070	0.000476288	-1.92	258468_at
AT2G19620	0.000715936	1.548116699	265938_at
AT3G27190	0.012994627	1.342487935	257174_at
AT3G56240	0.022443764	-1.24	251733_at
AT1G27650	0.024387606	1.455422231	262295_at
AT4G10120	0.001101259	-1.93	255016_at
AT1G58200	0.040837467	1.215077356	256229_at
AT2G20420	0.04954806	-1.21	265257_at
AT5G64050	0.015423712	1.619589378	247319_at
AT3G54420	0.000597723	-2.01	251895_at
AT3G57140	0.046672487	1.402915947	251654_at
AT3G24080	0.011419853	-1.31	256910_at
AT3G09070	0.002189917	-1.75	259200_at
AT1G30825	0.040489852	1.32264364	264498_at
AT5G65900	0.00370766	-1.37	247119_at
AT1G30820	0.031417545	1.238394578	264529_at
AT4G12070	0.022890252	1.370584957	254858_at
AT4G02610	0.048185905	1.268707457	255487_at
AT1G80290	0.041053523	1.402274329	260301_at
AT1G07010	0.012123474	1.495816609	256049_at
AT5G20460	0.04062051	1.310119729	246080_at
AT2G14800	0.040386014	1.356078588	267110_at
AT5G07800	0.000124839	-1.9	250600_at
AT4G38820	0.001628228	-1.68	252963_at
AT4G30460	0.00000451	-4.16	253619_at
AT3G48610	0.000130895	-1.81	252343_at
AT2G40475	0.000202275	-1.71	255825_at
AT2G16890	0.013869709	-1.62	266532_at
AT1G75250	0.00000072	-6.53	256503_at
AT5G28770	0.001159307	1.680868251	245925_at
AT3G55390	0.000605095	1.745761312	251795_at
AT1G74070	0.046161157	1.380173742	260388_at
AT3G61430	0.033794914	-1.31	251324_at
AT1G72950	0.019756689	1.303564692	262384_at
AT1G60890	0.0000119	-2.13	259721_at
AT1G48480	0.002544741	-1.37	261308_at
AT5G18310	0.000773387	-1.48	249988_at
AT5G04150	0.0000109	-4.28	245692_at
AT5G19400	0.012850465	1.392401883	246066_at
AT5G11420	0.00020289	-1.96	250366_at
AT4G31730	0.0000301	-2.95	253510_at
AT1G47990	0.000102452	1.884455527	259614_at
AT5G66590	0.040353421	-1.31	247074_at
AT4G10380	0.0000035	-3.13	254971_at
AT2G30930	0.002211375	1.555552038	267209_at
AT1G56660	0.000293834	2.261873121	245677_at
AT1G26560	0.010812711	-1.68	261016_at
AT1G18280	0.000743001	1.445922199	261673_at
AT5G49520	0.043064604	1.291663118	248611_at
AT3G60530	0.00341101	1.426209301	251373_at
AT5G52520	0.006454137	1.405764039	248339_at
AT3G22830	0.003185072	1.583498076	258325_at
AT3G61440	0.039494564	-1.21	251322_at
AT3G26100	0.0000778	1.654604646	258085_at
AT4G00780	0.001168865	-1.47	255626_at
AT1G14760	0.0000329	-2.79	262886_at
AT3G51895	0.00000237	-3.44	246310_at
AT1G80460	0.02594423	1.43211756	260274_at
AT5G46850	0.005377536	1.52428229	248842_at
AT5G64330	0.000198955	-2.32	247288_at
AT4G26150	0.00000343	-4.73	254016_at
AT2G47020	0.029721953	1.454801786	266751_at
AT2G27050	0.000352044	-1.78	266302_at
AT1G17380	0.039422774	1.266350702	261033_at
AT3G09150	0.043203067	1.252886715	259210_at
AT3G05070	0.010551874	1.320952122	259305_at
AT1G77450	0.000202275	-1.76	259705_at
AT4G02550	0.021103343	1.412110107	255485_at
AT1G70940	0.021786514	-1.28	262263_at
AT3G28560	0.003155482	-1.56	256987_at
AT3G30300	0.004566337	1.669946046	256706_at
AT3G10525	0.003065421	-1.49	258919_at
AT1G75390	0.00000047	-4.15	261114_at
AT1G80870	0.005918572	-1.99	261883_at
AT1G16390	0.00000566	2.430519106	262730_at
AT1G69850	0.003079903	-1.49	260414_at
AT5G58190	0.043556162	1.291107364	247808_at
AT3G05800	0.0000116	3.195082455	258742_at
AT2G38090	0.001304895	-1.67	267141_at
AT4G19530	0.025898105	1.667654333	254553_at
AT5G22580	0.000000264	-3.62	249894_at
AT2G24600	0.015682597	-1.41	263800_at
AT3G06450	0.006221162	-1.67	258913_at
AT1G74440	0.00501177	1.443490865	260211_at
AT2G42760	0.007423538	-1.44	263972_at
AT3G28420	0.002175958	-1.36	257900_at
AT3G28930	0.00060049	-1.8	258002_at
AT4G39500	0.002147334	-1.45	252898_at
AT1G15370	0.0000802	1.987957063	262581_at
AT3G60350	0.040068112	1.286856869	251407_at
AT3G15680	0.009376559	-1.6	258222_at
AT4G32250	0.037296146	1.333398386	253473_at
AT4G36410	0.00000044	-7.11	246195_at
AT5G23150	0.042995844	1.333765652	249877_at
AT3G05470	0.0000266	-3.05	259136_at
AT5G63710	0.0000109	-2.67	247357_at
AT5G42750	0.00000201	2.547149016	249190_at
AT5G59090	0.006593867	-1.5	247755_at
AT1G68530	0.004330062	1.40430938	260267_at
AT2G18690	0.003254536	-1.46	266017_at
AT1G26960	0.0000866	-2.67	263690_at
AT5G39610	0.0000529	-2.4	249467_at
AT2G46730	0.016056713	-1.31	266739_at
AT2G32000	0.041349766	1.368266771	265727_at
AT5G64150	0.041853942	1.305259661	247329_at
AT5G36250	0.031043786	-1.35	246622_at
AT3G03630	0.000673303	1.436602621	259172_at
AT1G12330	0.004837568	-1.33	259528_at
AT3G25640	0.02594423	-1.41	256759_at
AT1G53230	0.000563121	-1.76	260618_at
AT4G27300	0.000382387	-1.82	253911_at
AT3G15360	0.013713338	1.305041335	258398_at
AT4G17990	0.029698471	1.311336874	254699_at
AT5G01260	0.026664141	1.360230673	251110_at
AT4G15620	0.0000131	2.540545286	245501_at
AT4G29100	0.002812536	-1.51	253746_at
AT2G21050	0.0000329	-2.73	264025_at
AT2G22170	0.002691354	1.38127196	263431_at
AT3G53450	0.00000148	-2.59	251940_at
AT1G04640	0.005281089	1.485192916	264613_at
AT5G35420	0.038045444	1.264562277	246615_at
AT1G68620	0.002827136	-1.47	262229_at
AT1G03600	0.02572997	1.224838942	264837_at
AT5G43150	0.012550488	-1.53	249134_at
AT2G40900	0.017856133	-1.37	245090_at
AT5G06120	0.033166157	1.253672069	250712_at
AT3G01360	0.022547939	1.355830667	259115_at
AT2G29470	0.002031871	-1.46	266270_at
AT5G07290	0.000225392	1.722666032	250617_at
AT2G18960	0.003516558	-1.33	266939_at
AT4G20430	0.0000519	-1.86	254466_at
AT1G28210	0.024828497	1.310506469	245670_at
AT1G50040	0.032469458	1.400942104	261658_at
AT4G02940	0.002134708	-1.69	255462_at
AT4G32880	0.0000388	-1.97	253402_at
AT1G24170	0.020740716	1.325362957	264857_at
AT5G03730	0.03919621	-1.24	250911_at
AT1G62740	0.036557924	-1.25	262691_at
AT2G26460	0.020035764	1.334177306	245054_at
AT4G37610	0.002287153	1.530008247	253061_at
AT5G62920	0.00000297	2.516459135	247406_at
AT2G43590	1.82E-08	-19.7	260560_at
AT5G28030	0.000000169	-7.53	246700_at
AT4G24160	0.04418042	1.25820456	254204_at
AT2G28470	0.02873825	-1.26	264078_at
AT5G57780	0.000000162	-4.19	247880_at
AT3G05640	0.00018027	-2.21	258901_at
AT5G20150	0.035228385	1.310292637	246071_at
AT5G53450	0.001018317	-1.59	248270_at
AT5G42720	0.009196818	-1.4	249214_at
AT3G09440	0.0000704	-2.67	258979_at
AT3G19500	0.047516495	-1.21	258018_at
AT5G14120	0.004963138	1.32394607	250217_at
AT1G76620	0.0000772	-2.61	259985_at
AT1G30660	0.000208401	-2.71	263214_at
AT3G52570	0.048995519	1.347977568	252051_at
AT2G41050	0.034248027	1.378023636	257357_at
AT4G33440	0.00000213	2.859086491	253326_at
AT5G56320	0.008353529	-1.32	247991_at
AT4G15100	0.018139097	-1.42	245531_at
AT5G15720	0.000867894	-2.54	246526_at
AT5G63380	0.02065204	1.264808472	247380_at
AT3G26690	0.008081674	1.407871791	257830_at
AT1G17060	0.003795509	1.882422933	262525_at
AT1G72060	0.016794513	1.429180352	256337_at
AT3G59660	0.024283182	1.25546894	251475_at
AT3G02550	0.00255156	-1.49	258487_at
AT1G69580	0.0000754	-2.04	259832_at
AT1G50270	0.013557679	-1.77	262465_at
AT1G26210	0.000137164	-2.75	245816_at
AT1G18400	0.010301676	1.794280696	261717_at
AT2G39330	0.000190244	-1.71	266989_at
AT5G02810	0.00485135	1.424850147	250971_at
AT5G61520	0.011334033	-1.39	247529_at
AT3G14560	0.000000108	-4.3	258091_at
AT2G41090	0.000000785	-3.59	267076_at
AT5G17010	0.011004465	1.521981057	246466_at
AT2G03340	0.00231244	1.499096588	265718_at
AT5G06820	0.003615127	1.642361926	250699_at
AT1G79160	0.004581411	-1.39	264130_at
AT2G20920	0.033379629	1.207684661	265417_at
AT4G30470	0.000679098	-1.52	253638_at
AT1G51400	0.045068009	1.244489873	265149_at
AT5G28630	0.005734345	1.709568355	246108_at
AT4G37800	5.05E-08	-6.89	253040_at
AT1G73920	0.03440462	1.263278296	260393_at
AT5G38710	0.000461736	2.262101327	249527_at
AT3G02910	0.003065421	-1.66	258609_at
AT1G10780	0.018001658	1.49860937	262758_at
AT1G15570	0.049804344	1.284006457	261765_at
AT1G70740	0.046587487	1.444209691	260206_at
AT3G61990	0.022385661	-1.48	251304_at
AT5G51890	0.034366314	-1.31	248382_at
AT2G44920	0.035896735	1.243269293	266813_at
AT1G22200	0.019797138	-1.35	255925_at
AT1G72610	0.003149275	-2.45	259892_at
AT2G26690	0.000000291	-2.91	267612_at
AT4G39560	0.005397833	1.48919403	252902_at
AT3G44720	0.005043269	1.498214999	252652_at
AT5G26850	0.01769044	1.28702421	246849_at
AT5G54300	0.015892494	-1.47	248205_at
AT5G57190	0.015878712	-1.28	247940_at
AT4G39780	0.044167089	1.353349925	252859_at
AT5G54490	0.000457948	-1.97	248164_at
AT4G31560	0.011097326	1.404669992	253537_at
AT4G10470	0.040867002	1.333502351	254982_at
AT3G19553	0.005598893	1.454641243	256567_at
AT3G19550	0.009223486	1.754267813	256569_at
AT4G24130	0.000465378	1.870266906	254201_at
AT5G52120	0.038830303	1.259223292	248395_at
AT5G08535	0.00324566	1.383610744	250536_at
AT4G18640	0.004102499	-1.59	254633_at
AT1G11070	0.045717953	-1.27	260471_at
AT1G14040	0.000000387	-3.49	262649_at
AT1G69270	0.000222901	-2.4	260345_at
AT4G18700	0.034281692	-1.21	254636_at
AT5G25580	0.009023222	1.417770154	246898_at
AT2G15880	0.000267294	1.893436737	265536_at
AT5G25760	0.017645458	1.300439318	246862_at
AT1G30620	0.008744719	-1.57	263221_at
AT3G15290	0.01122862	1.298062398	257052_at
AT1G54740	0.021386212	1.382596344	264238_at
AT2G35620	0.042277557	1.299595861	265844_at
AT1G32100	0.033850033	-1.39	245792_at
AT1G69640	0.040353421	1.256055601	260421_at
AT1G66930	0.004947462	-1.44	255911_at
AT5G13220	0.000931375	1.613964088	250292_at
AT1G03660	0.047294973	-1.38	264832_at
AT4G21870	0.003796156	1.549393849	254384_at
AT4G12030	0.037943216	1.35682267	254862_at
AT1G06010	0.029826365	1.292058841	260946_at
AT3G24340	0.03281039	-1.31	257167_at
AT5G07270	0.009185397	1.452893523	250615_at
AT5G44380	0.03177837	-1.47	249045_at
AT1G09970	0.042253875	-1.32	264663_at
AT4G22160	0.000405514	-1.71	254362_at
AT5G35670	0.000132884	-2.37	249709_at
AT2G26440	0.0000104	2.630529098	245052_at
AT1G23340	0.037546157	-1.28	263042_at
AT4G13340	0.010228962	1.456576036	254770_at
AT4G13345	0.000224055	-2.45	254744_at
AT3G62960	0.00000772	-2.48	251197_at
AT5G54400	0.000000242	-5.36	248154_at
AT5G08050	0.016027944	1.327169733	250563_at
AT4G39950	0.017367272	1.548338284	252827_at
AT2G30050	0.006632686	1.549714611	267277_at
AT1G19440	0.000688261	-1.67	260667_at
AT1G26450	0.001078879	-1.63	261004_at
AT2G38530	0.00000988	-2.61	266415_at
AT5G04190	0.016458734	-1.34	245696_at
AT4G39040	0.023936007	1.241929466	252922_at
AT3G13950	0.00208293	-1.95	258203_at
AT1G73020	0.002910393	1.740301487	262379_at
AT2G42040	0.0000596	1.944209249	267532_at
AT3G07470	0.036975359	1.230326183	259020_at
AT4G33950	0.012405182	-1.36	253264_at
AT1G69070	0.006706416	-1.35	259367_at
AT1G14280	0.0000562	-2.04	261480_at
AT3G62740	0.029528818	-1.42	251229_at
AT3G24810	0.00047544	-1.69	257619_at
AT1G79975	0.027192942	1.288520951	262058_at
AT3G18600	0.000204147	-1.58	256797_at
AT1G78450	0.002873644	2.066250612	263133_at
AT5G28300	0.00000093	-3.29	245861_at
AT4G32040	0.028446644	1.248231342	253466_at
AT1G49800	0.000744663	-1.94	259809_at
AT1G80760	0.000000453	-4.27	261881_at
AT5G67280	0.0000184	-1.98	246986_at
AT2G13820	0.000381169	-1.71	265656_at
AT3G18080	0.000000616	-2.76	258151_at
AT4G17870	0.011279755	1.413545148	254705_at
AT4G26970	0.002769154	-1.39	253954_at
AT1G16790	0.010698365	1.399743281	255759_at
AT2G41290	0.002474782	-1.68	266391_at
AT1G68320	0.000000514	-4.09	260435_at
AT3G53350	0.036525513	-1.32	251992_at
AT5G42200	0.000180683	-1.94	249234_at
AT1G12050	0.004305058	1.336328824	264396_at
AT1G10585	0.000694442	-1.62	263210_at
AT4G09890	0.000229549	-2.2	255028_at
AT4G34230	0.002653595	-1.45	253277_at
AT1G65810	0.021044068	-1.32	262927_at
AT3G06530	0.015254475	-1.36	258505_at
AT3G18280	0.000005	-2.62	257066_at
AT5G65280	0.000837487	-2.04	247175_at
AT3G10700	0.032400709	1.327339564	258766_at
AT5G55940	0.011078274	1.286399263	248041_at
AT3G50530	0.02564822	-1.24	252158_at
AT5G18470	0.000227116	-1.73	249983_at
AT3G05100	0.024828497	1.457220635	259300_at
AT1G18650	0.002910393	1.520200232	255779_at
AT1G26270	0.0000205	-1.83	245821_at
AT2G24100	0.003591505	1.491376365	265999_at
AT3G19390	0.00150314	1.748703837	258005_at
AT4G08850	0.032577744	1.311058097	255116_at
AT2G24150	0.003039041	-1.71	266001_at
AT1G72500	0.020167537	-1.28	260455_at
AT1G15550	0.02760248	1.298123386	261768_at
AT2G46950	0.000580298	-1.54	266756_at
AT5G37740	0.0000422	-1.98	249580_at
AT2G42880	0.004938257	-1.61	263989_at
AT1G25560	0.020085018	1.291602088	255742_at
AT5G59220	0.000758329	-1.67	247723_at
AT1G30200	0.004145483	1.562663877	256193_at
AT3G11930	0.00000627	-4.15	258727_at
AT5G19870	0.048466762	-1.41	246138_at
AT2G34020	0.000146673	1.777587402	256712_at
AT1G15330	0.001520169	1.73113642	262580_at
AT3G23550	0.004214691	-1.34	258100_at
AT3G27420	0.025951554	1.364503895	257712_at
AT5G08180	0.041349766	-1.23	250546_at
AT3G21770	0.00324566	-1.86	257952_at
AT2G22420	0.018349055	-1.38	264001_at
AT3G08630	0.03779282	1.324172355	258691_at
AT4G15660	0.000986703	-2.92	245504_at
AT1G01640	0.002637151	1.537582667	261586_at
AT4G27450	0.031769475	-1.42	253874_at
AT3G51440	0.010260897	1.485499504	252068_at
AT3G55970	0.00000128	-2.37	251770_at
AT4G25340	0.005286106	-1.42	254076_at
AT1G48760	0.009763937	1.31706884	256146_at
AT1G09910	0.028005523	1.384697043	264658_at
AT2G29340	0.000101038	-1.92	266265_at
AT4G38860	0.00000977	-2.79	252965_at
AT3G09580	0.008433063	1.381743699	258708_at
AT5G52450	0.0000732	-2.69	248335_at
AT1G71030	0.005161895	-1.47	259751_at
AT1G23380	0.000895481	-1.65	263013_at
AT4G29140	0.001483352	-1.7	253732_at
AT5G42950	0.044922183	1.247344176	249172_at
AT3G06490	0.000645944	-1.83	258516_at
AT5G65610	0.002638536	-1.59	247146_at
AT5G53900	0.000399408	-1.53	248238_at
AT5G62960	0.000118074	-1.73	247399_at
AT4G37650	0.00763654	-1.41	253056_at
AT4G26490	0.039581198	1.460154927	253965_at
AT5G50335	0.00000431	-2.49	248509_at
AT3G61850	0.002020665	-1.63	251290_at
AT1G29120	0.0000246	-1.74	260889_at
AT2G43330	0.02756273	1.280904362	260543_at
AT3G12060	0.001006765	-1.69	256660_at
AT3G17611	0.048811229	1.361508293	258406_at
AT1G17745	0.00000228	-2.59	259403_at
AT5G07430	0.011619416	1.779141613	250631_at
AT5G38900	0.0000035	-4.86	249481_at
AT3G28850	0.001477009	-1.47	256583_at
AT1G08960	0.046740461	1.47432939	264644_at
AT2G30520	0.036525513	-1.45	267517_at
AT1G46264	0.000272715	-1.98	245800_at
AT1G14360	0.00406412	-1.34	261485_at
AT3G44020	0.01054845	1.328158225	252688_at
AT4G34650	0.012747374	-1.34	253254_at
AT2G47930	0.016548722	-1.46	266460_at
AT1G21090	0.021325585	-1.72	261454_at
AT1G78000	0.000768923	-1.53	262133_at
AT1G60060	0.00000155	-2.64	263738_at
AT2G20100	0.000476561	-1.94	265577_at
AT1G53720	0.035519477	1.268799711	259959_at
AT3G52200	0.03327908	1.255303035	256682_at
AT2G41010	0.000232016	1.950764257	267069_at
AT5G49170	0.020256151	-1.61	248623_at
AT1G01120	0.023660371	-1.43	261570_at
AT1G31040	0.0004982	-1.99	265158_at
AT3G22540	0.0000246	-2.6	256926_at
AT4G00270	0.020235276	-1.29	265908_at
AT5G14230	0.003608655	-1.77	250201_at
