gene_id	padj	log2FoldChange	probesetID
AT3G52460	0.036391521	-1.39	252046_at
AT3G51240	0.000171526	2.254423023	252123_at
AT1G32540	0.002147334	1.689044111	256469_at
AT3G05790	0.023759331	1.668249482	258741_at
AT5G35735	0.009371265	-1.43	249719_at
AT1G66860	0.025325499	1.469080309	256382_at
AT5G27620	0.022430707	-1.29	246762_at
AT1G50920	0.021103343	-1.24	256207_at
AT3G24510	0.031024744	-1.3	258130_at
AT5G18840	0.022820916	1.57943878	249955_at
AT1G34270	0.003070621	1.382458147	262513_at
AT2G28570	0.000313558	-1.71	264082_at
AT2G46250	0.026054377	-1.44	266589_at
AT3G57670	0.037621343	-1.31	251592_at
AT2G16365	0.026539408	1.296543668	263556_at
AT3G20180	0.00000227	5.391193438	257118_at
AT1G64790	0.010231696	-1.35	262859_at
AT4G37760	0.005597873	1.402658366	253039_at
AT2G46330	0.015479321	-1.3	266552_at
AT1G30570	0.009510146	-1.42	263218_at
AT1G06670	0.041261001	-1.23	262636_at
AT2G21590	0.0000774	-1.77	263544_at
AT5G07500	0.002189917	1.458648496	250583_at
AT5G19550	0.012741486	-1.3	245951_at
AT2G20840	0.001004372	1.480760999	265419_at
AT3G07940	0.010565134	1.36351288	258689_at
AT5G15410	0.004965686	1.369849038	246510_at
AT4G35180	0.001234326	-1.49	253181_at
AT2G38465	0.017490378	1.365873063	267036_at
AT2G38460	0.024360211	1.527944911	267029_at
AT4G39150	0.003103236	1.460218895	252935_at
AT4G05330	0.00103829	1.526666651	255232_at
AT4G19420	0.0073282	-1.59	254573_at
AT3G50560	0.00000279	4.199624674	252167_at
AT3G16120	0.0000389	2.597153579	258339_at
AT5G53200	0.001840637	-1.62	248246_at
AT1G69120	0.001678065	2.034351743	259372_at
AT1G61450	0.009677249	1.342059559	264763_at
AT1G65620	0.010941179	-1.46	264626_at
AT2G40430	0.014321057	-1.3	263802_at
AT4G01430	0.000000155	-7.8	255575_at
AT1G17170	0.00000363	-3.18	262518_at
AT1G18060	0.047726924	1.230780622	256076_at
AT1G22550	0.005670709	1.46653604	261924_at
AT1G22885	0.036861017	1.229856811	264725_at
AT5G11950	0.003757243	-1.36	250346_at
AT4G35985	0.003701449	1.46628798	253113_at
AT3G50740	0.000883325	-1.62	252183_at
AT5G02190	0.003290166	-1.48	251025_at
AT4G36750	0.046161157	1.288383234	246201_at
AT5G57520	0.0000725	-2.42	247869_at
AT5G66620	0.016796069	1.360788231	247104_at
AT1G05160	0.008794569	1.448418952	264586_at
AT1G67500	0.001743331	1.528129347	264227_at
AT2G01900	0.006593983	-1.71	263596_at
AT1G12320	0.00000363	-2.64	259520_at
AT3G58620	0.018307261	-1.29	251584_at
AT4G18425	0.04062051	-1.6	254629_at
AT1G09430	0.00213404	1.407792866	264504_at
AT2G32100	0.011096689	1.666391637	265724_at
AT5G01075	0.026582908	-1.37	251141_at
AT5G02250	0.021898817	1.317303319	251040_at
AT3G12710	0.000000514	-3.19	257701_at
AT2G32240	0.0000239	-1.87	265679_at
AT3G15570	0.00038556	-1.77	257294_at
AT2G35900	0.016520861	1.34802195	263938_at
AT5G43380	0.0000326	1.882272104	249126_at
AT5G20520	0.032538719	1.296171754	246090_at
AT1G23060	0.0000354	-3.77	264902_at
AT1G43980	0.027371247	1.260095795	259483_at
AT5G64660	0.005473195	-1.48	247240_at
AT4G33050	0.000300855	-2.17	253414_at
AT5G20950	0.001478786	-1.62	246184_at
AT1G65900	0.000608092	-2.39	261921_at
AT5G65390	0.00000292	2.404377881	247189_at
AT5G53830	0.000000304	-5.33	248230_at
AT4G13510	0.011624369	-1.38	254723_at
AT3G57040	0.000218574	-1.6	251665_at
AT5G47800	0.008896591	-1.35	248772_at
AT5G55360	0.0000772	1.785586352	248113_at
AT1G71500	0.04684317	1.267682753	259896_at
AT5G62440	0.017879275	-1.35	247453_at
AT3G13000	0.003835809	-1.55	257547_at
AT5G03610	0.0000995	-1.74	250918_at
AT4G10890	0.010698365	1.398603694	254943_at
AT3G23930	0.00707863	-1.49	257567_at
AT2G27810	0.018773283	1.33960772	266254_at
AT1G74590	0.043556162	-1.23	260225_at
AT5G61850	9.79E-10	104.8472239	247490_at
AT5G28610	0.00020627	-2.23	255945_at
AT5G47680	0.045703911	-1.21	248757_at
AT5G42810	0.010509695	1.386587474	249165_at
AT4G36540	0.0000032	-2.77	246275_at
AT2G45320	0.047387153	1.459309537	245132_at
AT3G17420	0.002971126	-1.6	257295_at
AT5G43610	0.000087	-2.34	249104_at
AT1G04250	0.000000616	2.836212384	263664_at
AT4G10270	0.005842779	-1.79	255807_at
AT1G60990	0.035886689	1.37614209	259715_at
AT3G29590	0.048609836	1.3304196	256924_at
AT1G60440	0.020820039	-1.26	264244_at
AT2G28930	0.0000598	1.911372903	266803_at
AT1G14130	0.000378067	1.633031869	262653_at
AT4G29190	0.012875466	-1.27	253722_at
AT4G31360	0.036408309	1.346573032	253516_at
AT1G70870	0.039041924	1.828990162	262300_at
AT1G02950	0.037098234	-1.41	262120_at
AT5G47640	0.045168364	1.272541656	248764_at
AT1G56230	0.01630463	-1.34	256220_at
AT2G44490	0.000345926	-1.64	267392_at
AT4G22200	0.00072674	-1.83	254305_at
AT5G49890	0.004776741	1.610483995	248580_at
AT3G02140	0.000681936	1.514313152	259076_at
AT4G00440	0.011072738	-1.37	255664_at
AT1G71050	0.000500086	-1.73	259753_at
AT5G15980	0.041996016	-1.22	246478_at
AT3G22970	0.007991343	-1.35	256828_at
AT4G20420	0.000729783	-2.16	254465_at
AT5G05250	0.031628156	-1.33	250828_at
AT5G05920	0.00715141	1.375915845	250706_at
AT3G47600	0.045357095	1.258180512	252408_at
AT5G06690	0.009018018	1.481749958	250649_at
AT4G29720	0.00000369	3.047603704	253692_at
AT5G44480	0.00022947	-1.63	249057_at
AT5G65700	0.005458987	-1.31	247153_at
AT5G56040	0.00702902	-1.52	248046_at
AT1G67710	0.000225618	-1.92	245186_at
AT2G16340	0.0000683	2.685657406	263603_at
AT1G31970	0.043868432	-1.24	255749_at
AT1G35290	0.000202275	-2.88	259549_at
AT4G26270	0.001317983	1.636231313	253987_at
AT1G76170	0.007177117	1.343338529	267397_at
AT5G22740	0.010701641	-1.86	249911_at
AT3G56070	0.035147718	-1.28	251740_at
AT1G30510	0.007875904	1.308428224	261806_at
AT1G71190	0.035416106	1.266419755	259745_at
AT1G06830	0.025888777	-1.63	260831_at
AT1G22400	0.025872969	1.293387465	261934_at
AT1G11880	0.046548716	1.359550209	264393_at
AT5G13790	0.0000302	-2.8	250258_at
AT3G15630	0.026911503	1.232889022	258225_at
AT1G71990	0.044609846	1.416036707	260169_at
AT5G19530	0.00000212	-2.53	245947_at
AT3G26980	0.004424926	-1.51	257785_at
AT2G06850	0.028224804	-1.29	266215_at
AT4G34215	0.017907528	1.272199931	253275_at
AT5G27220	0.003069599	-1.77	246815_at
AT3G59830	0.005849998	1.390295824	251433_at
AT5G58090	0.002652705	1.58141384	247845_at
AT5G51310	0.001150127	2.027093681	248443_at
AT2G16740	0.001801829	-1.6	265357_at
AT2G01070	0.018901877	1.290206364	262200_at
AT1G07220	0.008260372	1.3879363	256042_at
AT3G28500	0.020820039	1.261694187	256597_at
AT5G14740	0.032656405	-1.99	246596_at
AT3G22760	0.000229549	-1.84	258326_at
AT4G01450	0.0000493	-2.91	255578_at
AT3G09770	0.020636242	-1.25	258714_at
AT1G15430	0.022526095	1.439882728	262571_at
AT1G62770	0.0000141	-2.91	262643_at
AT3G44820	0.03452146	1.514800209	246331_at
AT1G22570	0.0000253	2.375247855	261937_at
AT4G35300	0.027888116	-1.3	253188_at
AT2G23560	0.005670781	1.577445831	267123_at
AT5G24280	0.000315869	1.511572039	249784_at
AT1G25400	0.000177309	1.914217664	255733_at
AT3G12270	0.026823418	-1.27	256288_at
AT5G46700	0.000506502	-1.73	248861_at
AT4G00585	0.007919133	1.318547707	255633_at
AT2G40140	0.001856804	-1.59	263379_at
AT1G13650	0.017102595	-1.28	256096_at
AT1G68670	0.030598266	1.294480816	262284_at
AT5G56490	0.023308689	1.499275261	248020_at
AT2G05540	0.000240441	1.87252989	265511_at
AT5G14960	0.008064313	1.41299279	246568_at
AT2G20670	0.008130286	1.419984693	265387_at
AT3G20820	0.001160395	-1.83	257974_at
AT1G64405	0.000182317	-2.17	259735_at
AT2G01750	0.005539408	-1.35	265864_at
AT2G32220	0.045703911	-1.32	265730_at
AT2G46420	0.012814424	1.324164774	263787_at
AT5G12330	0.00000292	-2.2	245208_at
AT3G47640	0.00926984	-1.52	252427_at
AT3G10140	0.00827417	1.493885754	258934_at
AT1G06640	0.028224804	1.414070993	262637_at
AT2G04240	0.000161575	-1.83	263325_at
AT3G59550	0.045143466	1.341548405	251485_at
AT5G02230	0.001016169	-1.69	251028_at
AT3G19540	0.01529125	-1.28	256570_at
AT1G78110	0.000545494	-1.65	257502_at
AT4G34680	0.000015	-1.81	253249_at
AT4G28390	0.012487171	-1.48	253776_at
AT2G42300	0.045935768	-1.31	265880_at
AT1G02850	0.000188982	-1.86	262118_at
AT1G21050	0.000723733	-1.91	261456_at
